relative_position	nmd_signed	ctrl_signed	nmd_n	ctrl_n
-250	9.603722308858629e-05	0.00010261755571393962	2268	7863
-249	-5.402774959807046e-05	3.557600828691353e-05	2268	7863
-248	0.00011248634688336821	5.681051665592608e-05	2268	7863
-247	1.9140129776204804e-05	0.0003782778978073618	2268	7863
-246	0.00015880096538872261	7.001089691845821e-05	2268	7863
-245	0.00025544228808801713	0.00016100850114430853	2268	7863
-244	-0.00018072569390229477	0.00016810094756549964	2268	7863
-243	0.0002148745111364271	2.0274219366439326e-05	2268	7863
-242	0.00017402282226692035	-1.8216480280731248e-05	2268	7863
-241	5.352153378528696e-05	0.00014153249678333383	2268	7863
-240	0.00017492789039172743	2.272116224259049e-05	2268	7863
-239	0.0003099052000362396	0.0001070326700639486	2268	7863
-238	-7.76846508890334e-05	-2.6808838826846608e-05	2268	7863
-237	0.0002971807141626994	5.6442853166128436e-05	2268	7863
-236	0.00020027725886899916	5.198185204147337e-05	2268	7863
-235	-0.00030234767468059417	2.127213964519567e-05	2268	7863
-234	0.00016968464252073106	-1.992120960776702e-05	2268	7863
-233	0.0002667901801684708	5.481945144861556e-06	2268	7863
-232	-0.00013948935336560085	1.1624977549939965e-05	2268	7863
-231	0.00024594960431300694	-6.516040219657518e-05	2268	7863
-230	0.00029477046254072157	-0.00010707102084833802	2268	7863
-229	-0.00012246692021207874	-7.51637329175757e-05	2268	7863
-228	0.00016955432747942014	-1.6430164867525658e-05	2268	7863
-227	4.1882127501283596e-05	-1.5476897863251788e-05	2268	7863
-226	-0.000320920290605797	-2.2546529420263844e-05	2268	7863
-225	-8.853209526406943e-05	1.6026451073217646e-05	2268	7863
-224	8.428716559181945e-05	-1.498508466909885e-05	2268	7863
-223	-0.00016161689856658356	-3.539022556004979e-05	2268	7863
-222	8.748608480749335e-05	-5.730404186535883e-06	2268	7863
-221	6.087276192761225e-05	-9.854934458981832e-05	2268	7863
-220	-0.0001748107226278799	-7.905160723968487e-05	2268	7863
-219	3.2379775116815957e-05	-2.7588873536375878e-05	2268	7863
-218	7.018811003133783e-05	-5.976433963329069e-05	2268	7863
-217	-0.0001490446337502718	-7.086170852735916e-05	2268	7863
-216	8.95962083639117e-05	-2.6881620465580718e-05	2268	7863
-215	1.7105962191105434e-05	-3.497755246137743e-05	2268	7863
-214	-0.00014532616022009913	-5.9528901389251465e-05	2268	7863
-213	0.00016630297175960966	-4.338754096388062e-05	2268	7863
-212	3.190583474478827e-05	-4.183869606159654e-05	2268	7863
-211	-0.00018141018316974281	-4.061826862155722e-05	2268	7863
-210	-2.007519881388785e-05	-6.114806925052208e-05	2268	7863
-209	3.7905183413502766e-05	-5.665830211720708e-05	2268	7863
-208	-0.00016876987312233348	-6.592038129623927e-05	2268	7863
-207	-1.6881749792835625e-06	-2.4028678355411266e-05	2268	7863
-206	6.573885445445989e-05	-4.6538683272774325e-05	2268	7863
-205	-0.00012530080179749142	-5.373327193509831e-05	2268	7863
-204	8.092560574177143e-05	-3.306362464959701e-05	2268	7863
-203	9.063889765892044e-05	-3.1216009130953806e-05	2268	7863
-202	-0.00020314290469811147	-4.152090605691537e-05	2268	7863
-201	0.00010498822499327109	-2.8369155705956286e-05	2268	7863
-200	7.106503363507943e-05	-5.37617405412092e-05	2268	7863
-199	-0.00016322669325251102	-5.265387742758205e-05	2268	7863
-198	4.055713481706637e-05	-2.213050332578992e-05	2268	7863
-197	1.7134052589315832e-05	-3.155044430513206e-05	2268	7863
-196	-0.00020831193833778077	-5.614089777243976e-05	2268	7863
-195	6.812529554490691e-05	-1.9725596830809836e-05	2268	7863
-194	7.584379628234433e-05	-3.475944620189069e-05	2268	7863
-193	-0.0001659687600826625	-4.6543297216934344e-05	2268	7863
-192	5.645065756677976e-05	-3.1449089387863644e-05	2268	7863
-191	9.26968151859123e-05	-4.12636410321108e-05	2268	7863
-190	-0.0002030071344360266	-4.969583686318817e-05	2268	7863
-189	3.236034009414646e-05	-3.373052643171479e-05	2268	7863
-188	4.5569424856585666e-05	-5.5272459478278744e-05	2268	7863
-187	-0.00010869264174911602	-3.976147199867623e-05	2268	7863
-186	2.5617063230438676e-05	-3.174450940435474e-05	2268	7863
-185	8.159654049998736e-05	-5.45446902494853e-05	2268	7863
-184	-0.00019887833357603148	-4.78894293663726e-05	2268	7863
-183	5.1136907073087065e-05	-2.5228489551281162e-05	2268	7863
-182	4.776922166621884e-06	-4.381629181098236e-05	2268	7863
-181	-0.00018894989004329587	-4.1784767424797076e-05	2268	7863
-180	7.522322123709992e-05	-2.924731724592025e-05	2268	7863
-179	5.098153897034144e-05	-2.881053332933012e-05	2268	7863
-178	-0.00021365697080881976	-4.898006942090131e-05	2268	7863
-177	9.614258402876788e-05	-1.5251816458425413e-05	2268	7863
-176	1.0723265880486905e-05	-4.86122804798336e-05	2268	7863
-175	-0.0002529568289737774	-6.927543214505824e-05	2268	7863
-174	7.629401735626645e-05	3.0162279508776e-06	2268	7863
-173	6.25010929490127e-05	-4.105464033693054e-05	2268	7863
-172	-0.00013802579525629108	-5.7240234010417734e-05	2268	7863
-171	-2.1289786757716724e-05	-3.0287408118379142e-05	2268	7863
-170	1.1438689138878125e-05	-4.898993906111836e-05	2268	7863
-169	-0.0001300460967485494	-4.221311978868262e-05	2268	7863
-168	7.866565818520701e-05	-3.0106687064865602e-05	2268	7863
-167	6.169660310945206e-05	-3.392063405347319e-05	2268	7863
-166	-8.277373178918361e-05	-3.83184922789412e-05	2268	7863
-165	9.530618228144139e-05	-4.0366812706223844e-05	2268	7863
-164	4.804481912664001e-05	-4.622672585634356e-05	2268	7863
-163	-0.00015187638322508207	-3.4896129522373166e-05	2268	7863
-162	9.331112951183062e-06	-3.327591600425692e-05	2268	7863
-161	6.407738173051306e-05	-4.7421828041017446e-05	2268	7863
-160	-0.00020995518648121882	-5.851258636328298e-05	2268	7863
-159	0.00012899026617304524	-1.1266097424407294e-05	2268	7863
-158	8.75261029714217e-05	-2.944694782214025e-05	2268	7863
-157	-0.00018013650603656596	-4.7206731058209976e-05	2268	7863
-156	0.00014853723972751731	-5.2280859664854955e-05	2268	7863
-155	8.615706079043067e-05	-2.3245977428238894e-05	2268	7863
-154	-0.0001497795640226531	-4.883406362802482e-05	2268	7863
-153	0.0001600474611835905	-3.2967963400081897e-05	2268	7863
-152	2.6909966498562043e-05	-3.9115213790256346e-05	2268	7863
-151	-0.00023589157862178304	-3.90542223462908e-05	2268	7863
-150	9.790978973410014e-05	-2.2098357723808394e-05	2268	7863
-149	3.013249189193541e-05	-5.7162449527107066e-05	2268	7863
-148	-0.0002136409859519985	-4.598772841906518e-05	2268	7863
-147	0.00013254460417547352	-3.58231223492951e-05	2268	7863
-146	8.974329411293539e-05	-4.268293922740044e-05	2268	7863
-145	-0.00019635491845639258	-4.6416664145668546e-05	2268	7863
-144	0.00011871058200115039	-5.0475395593892415e-05	2268	7863
